code,description/en,License,access/availableOnline,access/exampleIdentifiers,access/guidanceOnLocatingIds,access/languages,access/onlineAccessDetails,access/publicDatabase,confirmed,coverage,data/availability,data/dataAccessDetails,data/features,data/licenseDetails,data/licenseStatus,deprecated,formerPrefixes,links/opencorporates,links/wikipedia,listType,meta/lastUpdated,meta/source,name/en,name/local,quality,quality_explained/Availability: API,quality_explained/Availability: Bulk download,quality_explained/Availability: CSV format,quality_explained/Availability: Excel format,quality_explained/Availability: JSON format,quality_explained/Availability: PDF format,quality_explained/Availability: RDF format,quality_explained/Availability: XML format,quality_explained/License: Closed License,quality_explained/License: No License,quality_explained/License: Open License,quality_explained/List type: Local,quality_explained/List type: Primary,quality_explained/List type: Secondary,quality_explained/List type: Third Party,registerType,sector,structure,subnationalCoverage,url
EG-COA,"A government's budget (or 'Chart of Accounts') often refers to government agencies, departments and ministries with stable codes. These can be reliably used in open data publications as identifiers.

This org-id.guide entry is generated and maintained by Gov Org ID Finder [1] from Development Initiatives. Where available, Gov Org ID Finder extracts and makes Chart of Accounts codes available for the convenience of users. The authoritative source remains the government's budget or Chart of Accounts.

[1] https://gov-id-finder.codeforiati.org/about",,False,,,,"Codes can be found in the government budget or Chart of Accounts. Gov Org ID Finder extracts and makes some of these codes available for the convenience of users. However, no codes have yet been extracted for Egypt.",https://gov-id-finder.codeforiati.org/countries/EG/,True,EG,,"Look at the government budget or Chart of Accounts. If you find identifiers, you can also submit them for inclusion to Gov Org ID Finder: https://gov-id-finder.codeforiati.org/about",,,no_license,False,,,,secondary,2022-03-23,Desk research,Egypt Chart of Accounts,,55,,,,,,,,,,5,,,,50,,,,government_agency,,https://gov-id-finder.codeforiati.org/countries/EG/
EG-CR,"The Ministry of Supply and Internal Trade, Internal Trade Development Authority is in charge of registering limited liability companies, joint stocks, foreign branches and representative offices and maintaining the Commercial Registry in Egypt [1].
[1]. http://itda.gov.eg/hint-sgl.aspx",,True,117508,Egyptian citizens can request extracts from the register. Registration is required prior to searching the registry.,ar,,http://www.itda.gov.eg/cra/AvailableServices.aspx,True,EG,data_not_available,,,,open_license,False,,,,primary,2022-01-19,Original research,"Commercial Registry, Egypt",السجل التجارى المصرى,85,,,,,,,,,,,10,,75,,,,,company,,http://itda.gov.eg/
EG-MOSS,The Ministry of Social Solidarity and Justice is the main registration body for associations and foundations in Egypt.,,False,"27-20, 1-10135, 1-10120","Either ask an organisation for their registration number, or use the directory on the NGO portal. The list of organisations can be filtered using a geographic filter. ",ar,"The NGO Portal provides a list of associations, along with registration dates and registration numbers. ",http://196.204.6.120/,True,EG,data_not_available,,"directors_trustees_governors, industry_classifications, date_of_registration, registration_number, status",,no_license,False,,,,primary,2017-08-05,IATI,Ministry of Social Solidarity and Justice (Egypt),,80,,,,,,,,,,5,,,75,,,,,charity,,http://www.moss.gov.eg/
EH-COA,"A government's budget (or 'Chart of Accounts') often refers to government agencies, departments and ministries with stable codes. These can be reliably used in open data publications as identifiers.

This org-id.guide entry is generated and maintained by Gov Org ID Finder [1] from Development Initiatives. Where available, Gov Org ID Finder extracts and makes Chart of Accounts codes available for the convenience of users. The authoritative source remains the government's budget or Chart of Accounts.

[1] https://gov-id-finder.codeforiati.org/about",,False,,,,"Codes can be found in the government budget or Chart of Accounts. Gov Org ID Finder extracts and makes some of these codes available for the convenience of users. However, no codes have yet been extracted for Western Sahara.",https://gov-id-finder.codeforiati.org/countries/EH/,True,EH,,"Look at the government budget or Chart of Accounts. If you find identifiers, you can also submit them for inclusion to Gov Org ID Finder: https://gov-id-finder.codeforiati.org/about",,,no_license,False,,,,secondary,2022-03-23,Desk research,Western Sahara Chart of Accounts,,55,,,,,,,,,,5,,,,50,,,,government_agency,,https://gov-id-finder.codeforiati.org/countries/EH/
ER-COA,"A government's budget (or 'Chart of Accounts') often refers to government agencies, departments and ministries with stable codes. These can be reliably used in open data publications as identifiers.

This org-id.guide entry is generated and maintained by Gov Org ID Finder [1] from Development Initiatives. Where available, Gov Org ID Finder extracts and makes Chart of Accounts codes available for the convenience of users. The authoritative source remains the government's budget or Chart of Accounts.

[1] https://gov-id-finder.codeforiati.org/about",,False,,,,"Codes can be found in the government budget or Chart of Accounts. Gov Org ID Finder extracts and makes some of these codes available for the convenience of users. However, no codes have yet been extracted for Eritrea.",https://gov-id-finder.codeforiati.org/countries/ER/,True,ER,,"Look at the government budget or Chart of Accounts. If you find identifiers, you can also submit them for inclusion to Gov Org ID Finder: https://gov-id-finder.codeforiati.org/about",,,no_license,False,,,,secondary,2022-03-23,Desk research,Eritrea Chart of Accounts,,55,,,,,,,,,,5,,,,50,,,,government_agency,,https://gov-id-finder.codeforiati.org/countries/ER/
ES-COA,"A government's budget (or 'Chart of Accounts') often refers to government agencies, departments and ministries with stable codes. These can be reliably used in open data publications as identifiers.

This org-id.guide entry is generated and maintained by Gov Org ID Finder [1] from Development Initiatives. Where available, Gov Org ID Finder extracts and makes Chart of Accounts codes available for the convenience of users. The authoritative source remains the government's budget or Chart of Accounts.

[1] https://gov-id-finder.codeforiati.org/about",,False,,,,"Codes can be found in the government budget or Chart of Accounts. Gov Org ID Finder extracts and makes some of these codes available for the convenience of users. However, no codes have yet been extracted for Spain.",https://gov-id-finder.codeforiati.org/countries/ES/,True,ES,,"Look at the government budget or Chart of Accounts. If you find identifiers, you can also submit them for inclusion to Gov Org ID Finder: https://gov-id-finder.codeforiati.org/about",,,no_license,False,,,,secondary,2022-03-23,Desk research,Spain Chart of Accounts,,55,,,,,,,,,,5,,,,50,,,,government_agency,,https://gov-id-finder.codeforiati.org/countries/ES/
ES-DIR3,"The Common Directory of Organizational Units and Offices (DIR3) is a project to improve interoperability between public administration units in Spain. As a part of this, a list of all the public bodies is maintained by the Centro de Transferencia de Tecnología (Technology Transfer Centre).

""The Common Directory is conceived as a Inventory information on the organizational structure of the public administration, and its citizens care offices. That is, a catalogue of functional units, public agencies and registry offices and attention to the citizen of the administration"" [1] 

[1] http://administracionelectronica.gob.es/pae_Home/pae_Estrategias/Racionaliza_y_Comparte/sistemas_informacion_transversales/DIR3.html?idioma=en#.WDTAPaIrL8o

EXCEL Tables: http://administracionelectronica.gob.es/ctt/resources/Soluciones/238/Area%20descargas/Listado%20Oficinas%20AGE.xlsx?idIniciativa=238&idElemento=2745",,False,"E04100802, E00142804, E00003301","Users can download a dataset containing information on government agencies in Spain using this link - http://www.minhap.gob.es/es-ES/GobiernoAbierto/Datos%20Abiertos/Paginas/CatalogoRISPSecretariadeEstadodeAdministracionesPublicas.aspx or http://datos.gob.es/es/catalogo/e04990101-directorio-comun-de-unidades-organicas-y-oficinas-dir3 and looking for the file 'Listado de información básica de oficinas de la AGE'

Identifiers are under Column Header - C_ID_UNIDAD_RESPONSABLE.","en, es, ca, eu",,http://www.minhap.gob.es/es-ES/GobiernoAbierto/Datos%20Abiertos/Paginas/CatalogoRISPSecretariadeEstadodeAdministracionesPublicas.aspx,True,ES,"excel, rdf","Data is available online, but is hard to find on the website. Users must go to 'DIR3 reusable Data (minhap.gob)' http://www.minhap.gob.es/es-ES/GobiernoAbierto/Datos%20Abiertos/Paginas/CatalogoRISPSecretariadeEstadodeAdministracionesPublicas.aspx or to http://datos.gob.es/es/catalogo/e04990101-directorio-comun-de-unidades-organicas-y-oficinas-dir3.

This opens a list with many options. The correct spreadsheet is 'Listado de información básica de oficinas de la AGE'.","registration_number, date_of_registration",Custom Spanish Government License http://administracionelectronica.gob.es/pae_Home/pae_Informacion/pae_AvisoLegal.html,open_license,False,,,,secondary,2018-02-06,Desk research,Common Directory of Organizational Units and Offices - DIR3,,62,,,,1,,,1,,,,10,,,50,,,,government_agency,,http://administracionelectronica.gob.es/ctt/dir3/descargas
ES-MDJ,"The Ministry of Justice keeps a broad array of records, covering organisations, events, and individuals. Some of these records (such as organisations) are public and searchable, whilst others (civil registration) are not.

This list covers the following types of organisations (roughly translated): ""Property and Mercantile"", ""Mediators and Mediation Institutions"", and ""Foundations Under the Jurisdiction of the State"".",,True,539SND; 842EDU,Search using the appropriate finder interface.,es,"High level records page (including non-organisation sections): https://www.mjusticia.gob.es/ca/ciudadania/registros

Navigable from this page, there are multiple search interfaces for each of the organisation types which can be accessed through the direct links below, though there does not appear to be any way of bulk downloading the data.

Note that this search is very brittle. Searching for ""AYUDA EN ACCION"" yields a result for the organisation of that name, but searching ""AYUDA ACCION"" does not yield any results, nor does searching for all three words in the wrong order.

Mediator Institutions: https://remediabuscador.mjusticia.gob.es/remediabuscador/RegistroMediador 
Mediation Institutions: https://remediabuscador.mjusticia.gob.es/remediabuscador/RegistroInstitucion
Foundations: https://fundosbuscador.mjusticia.gob.es/fundosbuscador/cargaBuscador.action?lang=es_es",https://www.mjusticia.gob.es/ca/ciudadania/registros,True,ES,data_not_available,,,,,False,,,https://en.wikipedia.org/wiki/Ministry_of_Justice_(Spain),secondary,2024-01-22,Original research; official website,"Ministry of Justice, Spain",Ministerio de Justicia,50,,,,,,,,,,,,,,50,,,,"charity, company",,https://www.mjusticia.gob.es/ca/ciudadania/registros
ES-NIF,"The Tax Identification Number, Número de Identificación Fiscal (NIF), is a unique number given to every legal person and organisation (companies, associations, civil societies, public institutions etc.) required to pay taxes. The NIF is allocated by the Tax Agency [1]. There is no publicly available site to verify the ownership and validity of the number. Prior to 2008 the NIF number was called CIF. These two numbers are now merged; however, some still refer to the number as CIF.

[1]: https://www.agenciatributaria.es/AEAT.internet/en_gb/Inicio/La_Agencia_Tributaria/Campanas/Censos__NIF_y_domicilio_fiscal/Empresas_y_profesionales__Declaracion_censal__Modelos_036_y_037/Informacion/NIF_de_personas_juridicas_y_entidades.shtml",,False,"G02766913, G85960730",Ask the organisation you wish to identify to provide its NIF/CIF number.,en,,http://,True,ES,data_not_available,,,,open_license,False,,,,secondary,2021-04-22,Original research,Tax Identification Number,Número de Identificación Fiscal,60,,,,,,,,,,,10,,,50,,,,"company, charity, government_agency, trust, unincorporated_body",,http://www.agenciatributaria.es/AEAT.internet/en_gb/Inicio/La_Agencia_Tributaria/Campanas/Censos__NIF_y_domicilio_fiscal/Empresas_y_profesionales__Declaracion_censal__Modelos_036_y_037/Informacion/NIF_de_personas_juridicas_y_entidades.shtml
ES-RMC,"The Central Mercantile Register (1) provides the access to the companies information supplied by the Regional Mercantile Registers after the 1 January 1990, once the data has been organized and processed in accordance with Section 379 of the Mercantile Register Regulations currently in effect.

(1) Central Commercial Register - Central Corporate Register - Central Business Register",,True,,,"en, es","The Central Mercantile Register offers two methods of obtaining information about registered companies and/or company names: 

1) USERS WITHOUT AGREEMENT - They should pay the corresponding legal tax by credit card. 
2) USERS WITH AGREEMENT - They must use the password assigned by the Central Mercantile Register after the Agreement has been signed.",,True,ES,,,,,open_license,False,,,,primary,2017-10-24,ProZorro Business Register Research,Central Commercial Register of the Kingdom of Spain,El Registro Mercantil Central,85,,,,,,,,,,,10,,75,,,,,company,,http://www.rmc.es/Home.aspx
ET-COA,"A government's budget (or 'Chart of Accounts') often refers to government agencies, departments and ministries with stable codes. These can be reliably used in open data publications as identifiers.

This org-id.guide entry is generated and maintained by Gov Org ID Finder [1] from Development Initiatives. Where available, Gov Org ID Finder extracts and makes Chart of Accounts codes available for the convenience of users. The authoritative source remains the government's budget or Chart of Accounts.

[1] https://gov-id-finder.codeforiati.org/about",,True,"111, 112",The codes from the Organisation or Administrative classification should be used. ,en,Codes can be found in the government budget or Chart of Accounts. Gov Org ID Finder extracts and makes some of these codes available for the convenience of users. The authoritative source remains the government's budget or Chart of Accounts.,https://gov-id-finder.codeforiati.org/countries/ET/,True,ET,"json, csv",A download of the data is available from https://gov-id-finder.codeforiati.org/countries/ET/,,,no_license,False,,,,secondary,2022-03-23,Desk research,Ethiopia Chart of Accounts,,57,,,1,,1,,,,,5,,,,50,,,,government_agency,,https://gov-id-finder.codeforiati.org/countries/ET/
ET-CSA,"Most Charities and Societies which operate in Ethiopia are required to register with the Charities and Societies Agency, an institution of the Federal Government, which issues certificates of legal personality to those registered.",,,,,EN,,,True,ET,data_not_available,,,,,False,,,,primary,2017-10-17T10:00:00Z,original research,Charities and Societies Agency (Ethiopia),የበጎ አድራጎት ድርጅቶችና ማህበራት ኤጀንሲ,75,,,,,,,,,,,,,75,,,,,charity,,http://www.chsa.gov.et/
ET-MFA,"All charities wishing to operate in Ethiopia must register with the Ministry of Foreign Affairs (MFA). Details for how they register can be found in this document - http://mfa.gov.et/documents/10184/70245/NGO_Rule_English%5B1%5D%281%29.pdf/d20c730a-591e-4d3a-b9d8-a25aeb664904

Charities are registered but no openly searchable database yet available.",,False,Unable to find,Unable to find,"en, am",,Unable to find,True,ET,data_not_available,,,,,,,,,secondary,2016-11-23,Desk research,Ministry of Foreign Affairs,,50,,,,,,,,,,,,,,50,,,,charity,,http://www.mfa.gov.et/
ET-MOT,"The Ministry of Trade is the official ministry for business registration in Ethiopia.

""The Ministry of Trade was re-established in August1995 under -- proclamation No 4/1995 issued to provide for the definition of powers and duties of the executive organs of the Federal Democratic Republic ofEthiopia (FDRE).

The Ministry was again reorganized with a proclamation No 619/2003 issued to amend the reorganization of the executive organs of the Federal Democratic Republic Ethiopia Proclamation No 256/2001. With this proclamation and by other laws, the Ministry has been given the power to supervise and coordinate five government institutions that are involved in the promotion & development of trade, industry and investment activities.

The Ministry of Trade shall have the powers and duties to:

Encourage and register the establishment of chambers of commerce and sectorial associations including consumers associations and strengthen those already established(Chambers of Commerce and Sectorial Association Establishment Proclamation No.341/2003)."" [1]

[1]: http://www.mot.gov.et/documents/27281/0/Proc+No.+341-2003+Chamber+of+commerce+and+sectorial+Associa.pdf/50798768-2b9d-4f20-990f-1d4298f16f08?version=1.1",,False,020/4/007,"A computerised system exists for checking company names, but it is not accessible online. 

Identifiers will need to be requested from the organisation to be identified, and should be available from the documents originally issued when they registered. ",en,,,True,ET,data_not_available,,,,no_license,False,,,,primary,2017-07-06,IATI - https://discuss.iatistandard.org/t/proposed-addition-to-the-organisation-registration-agency-codelist-ethiopia/941,Ministry of Trade (Ethiopia),,80,,,,,,,,,,5,,,75,,,,,"company, charity",,http://www.mot.gov.et
FI-COA,"A government's budget (or 'Chart of Accounts') often refers to government agencies, departments and ministries with stable codes. These can be reliably used in open data publications as identifiers.

This org-id.guide entry is generated and maintained by Gov Org ID Finder [1] from Development Initiatives. Where available, Gov Org ID Finder extracts and makes Chart of Accounts codes available for the convenience of users. The authoritative source remains the government's budget or Chart of Accounts.

[1] https://gov-id-finder.codeforiati.org/about",,False,,,,"Codes can be found in the government budget or Chart of Accounts. Gov Org ID Finder extracts and makes some of these codes available for the convenience of users. However, no codes have yet been extracted for Finland.",https://gov-id-finder.codeforiati.org/countries/FI/,True,FI,,"Look at the government budget or Chart of Accounts. If you find identifiers, you can also submit them for inclusion to Gov Org ID Finder: https://gov-id-finder.codeforiati.org/about",,,no_license,False,,,,secondary,2022-03-23,Desk research,Finland Chart of Accounts,,55,,,,,,,,,,5,,,,50,,,,government_agency,,https://gov-id-finder.codeforiati.org/countries/FI/
FI-PRO,"All business operating in Finland must obtain a Business ID (""Y-tunnus"" in Finnish) from the Finnish Trade Register. The Finnish Trade Register is maintained by the Finnish Patent and Registration Office (PRH), which is also responsible for maintaining the Business Information System, which can be used to search for all companies in Finland, and the API which allows users to download company information in bulk. 

""The Finnish Trade Register (Finnish: Kaupparekisteri, Swedish: Handelsregistret) is a company register in Finland. It provides official information on businesses in the whole country, including data from current and old register entries, articles of association, partnership agreements or rules."" [1]

""The Finnish Trade Register is a public register that contains information about businesses and companies. As a rule, all businesses have to be registered at the Trade Register. Businesses also have to notify the register of any changes in their registered details. Most businesses must also submit their financial statements (annual accounts) to the register. "" [2] 

""The Business Information System BIS (""YTJ"" in Finnish) is a service jointly maintained by the Finnish Patent and Registration Office and the Finnish Tax Administration, enabling you to file information to both authorities using one single notification. 

You can use the BIS to:

start a business or an organization
report changes 
close down a business or an organization
search for basic details of companies and organizations using the company search"" [3]

[1] https://en.wikipedia.org/wiki/Finnish_Trade_Register
[2] https://www.prh.fi/en/kaupparekisteri/rekisterointipalvelut.html
[3] https://www.ytj.fi/en/index/whatisbis.html",,True,"1680140-0, 2261873-3, 0551253-1","Users can search for identifiers on this webpage. They must provide a minimum of a company name or company identifier number - https://www.ytj.fi/index.html

It is also available in English - https://www.ytj.fi/en/index.html

The identifier will be located above the information box next to the heading 'Business ID' (""Y-tunnus"" in Finnish).

The API for the Finnish Trade Register is available here - http://avoindata.prh.fi/ytj.html

It is also available in English - http://avoindata.prh.fi/ytj_en.html","en, fi, sv","Data is either available in a simple, searchable database, or using an API","https://www.ytj.fi/en/index.html , http://avoindata.prh.fi/ytj_en.html",True,FI,api,http://avoindata.prh.fi/index_en.html,"registered_address, website, date_of_registration, akas, business_id_history",Creative Commons Attribution 4.0 - http://avoindata.prh.fi/index_en.html,open_license,False,,,,primary,2021-07-07,Desk research,Finnish Patent and Registration Office , PRH - Patentti- ja rekisterihallitus ,87,2,,,,,,,,,,10,,75,,,,,company,,http://www.prh.fi/en/index.html
FI-VERO,"The Finnish Tax Administration (Finnish: Verohallinto, Swedish: Skatteförvaltningen) maintains the register of Finnish companies registered to pay Value Added Tax (VAT). 

“A company selling goods or services in the conduct of business is usually liable to pay VAT and has to be entered in the VAT register. In some cases, for example if the company’s turnover is small, VAT registration is voluntary. In addition, some operations are exempt from VAT. A company conducting VAT-exempt operations cannot be entered in the VAT register.” [1]

“VAT number is ’ALV-numero’ in Finnish and ’momsnummer’ or ‘mervärdesskattenummer’ in Swedish.”  [2]

'[1] https://www.vero.fi/en/businesses-and-corporations/taxes-and-charges/vat/how-to-register-for-vat/'
'[2] https://www.ytj.fi/en/index/vatnumber.html",,True,"FI-VERO-FI08974643, FI-VERO-FI01120389, FI-VERO-FI01113162","Users can search for identifiers on this webpage. They must provide a minimum of a company name or company identifier number - https://www.ytj.fi/index.html
It is also available in English - https://www.ytj.fi/en/index.html and Swedish - https://www.ytj.fi/sv/index.html
Select the Business ID (“Y-tunnus” in Finnish) of the company of interest and if they are registered for VAT this will be listed on the company’s page in the “Registrations in force” (“Voimassaolevat rekisteröinnit” in Finnish, “Giltiga registreringar” in Swedish) table. The VAT number can be constructed from the Business ID by adding FI as a prefix and omitting the dash before the final digit.","fi, en, sv",,https://www.ytj.fi/index.html,True,FI,api,"The API for the Finnish Business Information System is available here - http://avoindata.prh.fi/ytj.html
It is also available in English - http://avoindata.prh.fi/ytj_en.html and Swedish - http://avoindata.prh.fi/ytj_sv.html",,,no_license,False,,,https://en.wikipedia.org/wiki/Finnish_Tax_Administration,secondary,,original research,Finnish Tax Administration,Verohallinto/Skatteförvaltningen,57,2,,,,,,,,,5,,,,50,,,,"company, company/community_interest_company, company/limited_company, company/mutual, company/partnership, company/sole_trader",,https://www.ytj.fi/en/index/vatnumber.html
FJ-COA,"A government's budget (or 'Chart of Accounts') often refers to government agencies, departments and ministries with stable codes. These can be reliably used in open data publications as identifiers.

This org-id.guide entry is generated and maintained by Gov Org ID Finder [1] from Development Initiatives. Where available, Gov Org ID Finder extracts and makes Chart of Accounts codes available for the convenience of users. The authoritative source remains the government's budget or Chart of Accounts.

[1] https://gov-id-finder.codeforiati.org/about",,False,,,,"Codes can be found in the government budget or Chart of Accounts. Gov Org ID Finder extracts and makes some of these codes available for the convenience of users. However, no codes have yet been extracted for Fiji.",https://gov-id-finder.codeforiati.org/countries/FJ/,True,FJ,,"Look at the government budget or Chart of Accounts. If you find identifiers, you can also submit them for inclusion to Gov Org ID Finder: https://gov-id-finder.codeforiati.org/about",,,no_license,False,,,,secondary,2022-03-23,Desk research,Fiji Chart of Accounts,,55,,,,,,,,,,5,,,,50,,,,government_agency,,https://gov-id-finder.codeforiati.org/countries/FJ/
FK-COA,"A government's budget (or 'Chart of Accounts') often refers to government agencies, departments and ministries with stable codes. These can be reliably used in open data publications as identifiers.

This org-id.guide entry is generated and maintained by Gov Org ID Finder [1] from Development Initiatives. Where available, Gov Org ID Finder extracts and makes Chart of Accounts codes available for the convenience of users. The authoritative source remains the government's budget or Chart of Accounts.

[1] https://gov-id-finder.codeforiati.org/about",,False,,,,"Codes can be found in the government budget or Chart of Accounts. Gov Org ID Finder extracts and makes some of these codes available for the convenience of users. However, no codes have yet been extracted for Falkland Islands (the) [Malvinas].",https://gov-id-finder.codeforiati.org/countries/FK/,True,FK,,"Look at the government budget or Chart of Accounts. If you find identifiers, you can also submit them for inclusion to Gov Org ID Finder: https://gov-id-finder.codeforiati.org/about",,,no_license,False,,,,secondary,2022-03-23,Desk research,Falkland Islands (the) [Malvinas] Chart of Accounts,,55,,,,,,,,,,5,,,,50,,,,government_agency,,https://gov-id-finder.codeforiati.org/countries/FK/
FM-COA,"A government's budget (or 'Chart of Accounts') often refers to government agencies, departments and ministries with stable codes. These can be reliably used in open data publications as identifiers.

This org-id.guide entry is generated and maintained by Gov Org ID Finder [1] from Development Initiatives. Where available, Gov Org ID Finder extracts and makes Chart of Accounts codes available for the convenience of users. The authoritative source remains the government's budget or Chart of Accounts.

[1] https://gov-id-finder.codeforiati.org/about",,False,,,,"Codes can be found in the government budget or Chart of Accounts. Gov Org ID Finder extracts and makes some of these codes available for the convenience of users. However, no codes have yet been extracted for Micronesia (Federated States of).",https://gov-id-finder.codeforiati.org/countries/FM/,True,FM,,"Look at the government budget or Chart of Accounts. If you find identifiers, you can also submit them for inclusion to Gov Org ID Finder: https://gov-id-finder.codeforiati.org/about",,,no_license,False,,,,secondary,2022-03-23,Desk research,Micronesia (Federated States of) Chart of Accounts,,55,,,,,,,,,,5,,,,50,,,,government_agency,,https://gov-id-finder.codeforiati.org/countries/FM/
FO-COA,"A government's budget (or 'Chart of Accounts') often refers to government agencies, departments and ministries with stable codes. These can be reliably used in open data publications as identifiers.

This org-id.guide entry is generated and maintained by Gov Org ID Finder [1] from Development Initiatives. Where available, Gov Org ID Finder extracts and makes Chart of Accounts codes available for the convenience of users. The authoritative source remains the government's budget or Chart of Accounts.

[1] https://gov-id-finder.codeforiati.org/about",,False,,,,"Codes can be found in the government budget or Chart of Accounts. Gov Org ID Finder extracts and makes some of these codes available for the convenience of users. However, no codes have yet been extracted for Faroe Islands (the).",https://gov-id-finder.codeforiati.org/countries/FO/,True,FO,,"Look at the government budget or Chart of Accounts. If you find identifiers, you can also submit them for inclusion to Gov Org ID Finder: https://gov-id-finder.codeforiati.org/about",,,no_license,False,,,,secondary,2022-03-23,Desk research,Faroe Islands (the) Chart of Accounts,,55,,,,,,,,,,5,,,,50,,,,government_agency,,https://gov-id-finder.codeforiati.org/countries/FO/
FR-COA,"A government's budget (or 'Chart of Accounts') often refers to government agencies, departments and ministries with stable codes. These can be reliably used in open data publications as identifiers.

This org-id.guide entry is generated and maintained by Gov Org ID Finder [1] from Development Initiatives. Where available, Gov Org ID Finder extracts and makes Chart of Accounts codes available for the convenience of users. The authoritative source remains the government's budget or Chart of Accounts.

[1] https://gov-id-finder.codeforiati.org/about",,False,,,,"Codes can be found in the government budget or Chart of Accounts. Gov Org ID Finder extracts and makes some of these codes available for the convenience of users. However, no codes have yet been extracted for France.",https://gov-id-finder.codeforiati.org/countries/FR/,True,FR,,"Look at the government budget or Chart of Accounts. If you find identifiers, you can also submit them for inclusion to Gov Org ID Finder: https://gov-id-finder.codeforiati.org/about",,,no_license,False,,,,secondary,2022-03-23,Desk research,France Chart of Accounts,,55,,,,,,,,,,5,,,,50,,,,government_agency,,https://gov-id-finder.codeforiati.org/countries/FR/
FR-INSEE,"The National Institute of Statistics and Economic Studies provide a registration service for companies and associations with details being held on the SIRENE database.

Information from INSEE is also contained in the RCS dataset, and so this organisation list is deprecated in favour of FR-RCS. ",,False,,,,,,True,FR,,,,,,True,,,,deprecated,,,The National Institute of Statistics and Economic Studies , Institute National de la Statistique et des etudes economiques,0,,,,,,,,,,,,,,,,,,,,http://www.insee.fr/fr/service/default.asp?page=entreprises/entreprise.htm
FR-RCS,"In France, companies register through a number of institutions, predominantly the local centres de formalités des entreprises, but all companies must eventually be registered with the Trade and Companies Register. Once registered, companies receive a SIREN or SIRET number, which is a unique business identifier.

This information is maintained by Infogreffe. Infogreffe provide a basic overview of company information for free, and bulk download of data for a fee.

A note on identifiers: 

- A SIRET number is constituted by the SIREN number, plus the NIC code. 

- The SIREN number relates to a business, whereas a SIRET number relates to a specific geographically located establishment which will be owned by a business.

- ""A SIREN number is your unique French business identification number. This 9 digit number will be requested by all French administration when dealing with you.. It is a proof that you are a fully registered French business"" [1]

""The SIRET code/number is an INSEE code which allows the geographic identification of any French establishment or business.

The 14-digit number consists of three parts:

- first, the SIREN code of the business (or legal unit or person) that owns the unit represented by the SIRET code,
- second, the NIC (French: Numéro interne de classement), is a sequential four-digit number unique to the establishment,
- and finally, a check digit that verifies the entire SIRET number.

For example, 732 829 320 00074 would refer to the seventh establishment of the business with SIREN number 732 829 320."" [2]

""Registration is administered by local centres de formalités des entreprises ( CFE), which checks your application and submits details to the relevant agencies (for a small fee). The CFE will provide you with a form M0, which is for the creation of a company."" [3] 

""Creating a company requires that it is registered with the Trade and Companies Register (RCS)."" [4] 

""WHAT SOURCE IS USED FOR INFORMATION AVAILABLE ON THE INFOGREFFE WEBSITE?

Information concerning companies entered on the Trade and Companies Register with Registries of the Commercial Courts is taken directly from public registers held by said registries. 

Information concerning companies entered on the Trade and Companies Register with other jurisdictions (district courts with commercial jurisdiction, mixed commercial courts in the overseas departments and territories) is provided by the National Industrial Property Institute (INPI).

Information concerning companies not entered on the Trade and Companies Register is taken from data on the SIRENE listing held by INSEE."" [5]

""WHAT DOCUMENTS ARE AVAILABLE ON THE INFOGREFFE WEBSITE?
Infogreffe makes the following information available to the general public:

Free information
•    Company search and information form
•    Key figures concerning a company
•    Implementing tracking (free alert, paid consultation).
•    Lists of articles of association and company deeds available.
•    Your formalities with online help to be incorporated on the Trade and Companies Register.

Paid information
View, download, order"" [6]

[1] http://www.startbusinessinfrance.com/blog/post/tip-what-is-a-siren-or-siret-number
[2] https://en.wikipedia.org/wiki/SIRET_code
[3] https://www.justlanded.com/english/France/France-Guide/Business/Paperwork
[4][5] https://www.infogreffe.com/societes/formalites-entreprise/immatriculation-entreprise.html
[6] https://www.infogreffe.com/societes/informations-et-dossiers-entreprises/aide-faq.html#1",,False,"799 640 131, 512 788 308 00025, 798 620 860","Users can find identifiers using the simple, search bar present near the top of every webpage on the Infogreffe website - https://www.infogreffe.com/societes/

After searching for a company, address, director or number, the identifier is under the column header 'SIREN / SIRET' 

Please note : users may have to click on the record in order to see the full SIREN / SIRET identifier number

Users can also analyse datasets on the Infogreffe Open Data portal - https://datainfogreffe.fr/explore/?sort=modified&q=

The Identifier is under the column header 'SIREN'.

The SIREN directory is available as zipped csv files in daily updates published to https://www.data.gouv.fr/en/datasets/base-sirene-des-entreprises-et-de-leurs-etablissements-siren-siret/. An (unofficial) API for access data from this directly is accessible from https://public.opendatasoft.com/explore/dataset/sirene/api/, which also allows searching with a geofilter.","en, fr","Data is available through a simple search for free, a bulk download of more detailed documentation for a fee, and also through an open data portal","https://www.infogreffe.com/societes/ , https://datainfogreffe.fr/explore/?sort=modified&q=",True,FR,"bulk_download, csv, excel, json, geojson, kml, shapefile, html, api","Basic company informaiton is available using the home page search bar, but for more detailed information, users should go to the datainfogreffe portal, or pay for bulk download","registered_address, date_of_registration, registration_number, organisation_name, activities/sector_code, financial_turnover/details, organisation_type",https://www.etalab.gouv.fr/licence-ouverte-open-licence,open_license,False,,,https://en.wikipedia.org/wiki/SIREN_code,secondary,2016-11-25,Desk research,Trade and Companies Register , Les Greffes des Tribunaux de Commerce,65,2,,1,1,1,,,,,,10,,,50,,,,company,,http://www.infogreffe.fr
